title,id,function,distName1
566 7,2BE88E87-A6CE-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Alexandra Park
566 8,2BE88E87-A6CE-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Alexandra Park
569 2,2BE88DE5-B5C1-7FED-E063-AAEFA00A0EDD,Other Sports Facility,Hough End Leisure Centre
569 9,2BE88DE5-B5C1-7FED-E063-AAEFA00A0EDD,Other Sports Facility,Hough End Leisure Centre
569 11,2BE88DE5-B5C1-7FED-E063-AAEFA00A0EDD,Other Sports Facility,Hough End Leisure Centre
580 1,2BE88E2D-34C8-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Heaton Park
580 1,2BE88E2D-34CA-7FED-E063-AAEFA00A0EDD,Golf Course,
580 1,2BE88DDA-31FF-7FED-E063-AAEFA00A0EDD,Other Sports Facility,
580 2,2BE88E2D-34C8-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Heaton Park
580 2,2BE88E2D-34CA-7FED-E063-AAEFA00A0EDD,Golf Course,
580 2,2BE88DDA-31FF-7FED-E063-AAEFA00A0EDD,Other Sports Facility,
580 3,2BE88E2D-34C8-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Heaton Park
580 4,2BE88E2D-34C8-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Heaton Park
580 4,2BE88E2D-34CA-7FED-E063-AAEFA00A0EDD,Golf Course,
580 5,2BE88E2D-34C8-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Heaton Park
580 5,2BE88E2D-34CA-7FED-E063-AAEFA00A0EDD,Golf Course,
580 5,2BE88DDA-31FF-7FED-E063-AAEFA00A0EDD,Other Sports Facility,
580 6,2BE88E2D-34C8-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Heaton Park
580 6,2BE88E2D-34CA-7FED-E063-AAEFA00A0EDD,Golf Course,
580 6,2BE88DDA-31FF-7FED-E063-AAEFA00A0EDD,Other Sports Facility,
580 7,2BE88E2D-34C8-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Heaton Park
580 7,2BE88E2D-34CA-7FED-E063-AAEFA00A0EDD,Golf Course,
584 11,2BE88DF5-FF45-7FED-E063-AAEFA00A0EDD,Religious Grounds,St Mary's Ukrainian Roman Catholic Church
612 3,2BE88E2D-34C8-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Heaton Park
618 7,2BE88DF6-08FC-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Goldstone Gardens
661 1,2BE88E87-A6D9-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Whitworth Park
661 2,2BE88E87-A6D9-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Whitworth Park
661 3,2BE88E87-A6D9-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Whitworth Park
661 4,2BE88E87-A6D9-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Whitworth Park
661 5,2BE88E87-A6D9-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Whitworth Park
661 6,2BE88E87-A6D9-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Whitworth Park
661 8,2BE88E87-A6D9-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Whitworth Park
663 3,2BE88E74-F310-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Platt Fields Park
663 5,2BE88E74-EFA4-7FED-E063-AAEFA00A0EDD,Other Sports Facility,
663 5,2BE88E74-EFAD-7FED-E063-AAEFA00A0EDD,Playing Field,
663 6,2BE88E74-F310-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Platt Fields Park
663 6,2BE88E74-EFAD-7FED-E063-AAEFA00A0EDD,Playing Field,
663 7,2BE88E74-F310-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Platt Fields Park
667 6,2BE88E75-562A-7FED-E063-AAEFA00A0EDD,Religious Grounds,St Paul's Church
680 3,2BE88E2D-3537-7FED-E063-AAEFA00A0EDD,Playing Field,
690 3,2BE88E87-A6AB-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Ardwick Green Park
690 8,2BE88E87-A6AB-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Ardwick Green Park
690 10,2BE88E87-A6AB-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Ardwick Green Park
731 1,2BE88E75-5CCC-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Ladybarn Park
731 2,2BE88E75-5CCC-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Ladybarn Park
731 3,2BE88E75-5CCC-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Ladybarn Park
731 4,2BE88E75-5CCC-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Ladybarn Park
731 8,2BE88E75-5CCC-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Ladybarn Park
731 8,2BE88E75-5CCB-7FED-E063-AAEFA00A0EDD,Other Sports Facility,
731 8,2BE88F5F-EC6D-7FED-E063-AAEFA00A0EDD,Play Space,
792 4,2BE88E74-F9F7-7FED-E063-AAEFA00A0EDD,Bowling Green,
799 1,2BE88E75-6CA4-7FED-E063-AAEFA00A0EDD,Religious Grounds,Heaton Mersey Methodist Church
